goos: linux
goarch: amd64
pkg: github.com/itelman/go-concurrency
cpu: AMD Ryzen 5 6600HS Creator Edition
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   44210	     27484 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   44882	     27026 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   46072	     26076 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   30751	     39629 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   33898	     36225 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   31317	     35264 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   34048	     35326 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   34018	     36214 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   29756	     38904 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   32055	     39998 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   29962	     39469 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   31388	     38949 ns/op	  128704 B/op	     242 allocs/op
BenchmarkMPSCPool/SHeavy_120_Producers-12       	   28468	     40221 ns/op	  128704 B/op	     242 allocs/op
PASS
ok  	github.com/itelman/go-concurrency	282.433s
